mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.190323257446289,0.2698445869446368,0.15200610160827638,0.026743223292346404,0.009897841920732765,entropy,15,0.1,0.003311084966425703,3,6,295,"OrderedDict({'ccp_alpha': 0.009897841920732765, 'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.1, 'min_impurity_decrease': 0.003311084966425703, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 295})",1.0,0.9612403100775194,0.9682539682539683,0.976,0.9606299212598425,0.973224839918266,0.014502284009773771,2
1.1119435787200929,0.3220564726764319,0.1319044589996338,0.04131552310183747,0.005129327347773485,entropy,16,0.4,0.0002650711086271887,3,6,200,"OrderedDict({'ccp_alpha': 0.005129327347773485, 'criterion': 'entropy', 'max_depth': 16, 'max_features': 0.4, 'min_impurity_decrease': 0.0002650711086271887, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 200})",0.9846153846153847,0.9770992366412213,0.9682539682539683,0.9841269841269841,0.9457364341085271,0.9719664015492171,0.014394553763364262,4
1.186377191543579,0.2688054449393173,0.1676041603088379,0.03563049803720159,0.009506260046889278,entropy,15,0.1,0.0008849206793323971,7,5,300,"OrderedDict({'ccp_alpha': 0.009506260046889278, 'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.1, 'min_impurity_decrease': 0.0008849206793323971, 'min_samples_leaf': 7, 'min_samples_split': 5, 'n_estimators': 300})",1.0,0.9538461538461539,0.9682539682539683,0.967741935483871,0.9523809523809523,0.9684446019929892,0.017131425813285257,16
0.8223559856414795,0.18603267725842612,0.125252103805542,0.028839577201913335,0.012790925584071583,entropy,15,0.1,0.0038097452138252065,3,5,201,"OrderedDict({'ccp_alpha': 0.012790925584071583, 'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.1, 'min_impurity_decrease': 0.0038097452138252065, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 201})",1.0,0.9612403100775194,0.9682539682539683,0.976,0.9606299212598425,0.973224839918266,0.014502284009773771,2
1.1776987552642821,0.2525334821653403,0.16585144996643067,0.035598952608664636,0.01150107373704819,entropy,15,0.1,0.00015352780474564104,3,6,225,"OrderedDict({'ccp_alpha': 0.01150107373704819, 'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.1, 'min_impurity_decrease': 0.00015352780474564104, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 225})",1.0,0.9612403100775194,0.9682539682539683,0.967741935483871,0.9606299212598425,0.9715732270150402,0.014562299331820159,6
1.0817247867584228,0.25513327003762476,0.1456249713897705,0.038258184692579716,0.014877928095982623,entropy,29,0.1,0.0023446556904651162,3,3,259,"OrderedDict({'ccp_alpha': 0.014877928095982623, 'criterion': 'entropy', 'max_depth': 29, 'max_features': 0.1, 'min_impurity_decrease': 0.0023446556904651162, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 259})",1.0,0.9612403100775194,0.9682539682539683,0.967741935483871,0.9523809523809523,0.9699234332392622,0.01609522398982493,8
0.9841240882873535,0.23413799372545568,0.1668652057647705,0.014859285571957832,0.006550083445827776,entropy,30,0.3,0.003663923577322442,7,6,201,"OrderedDict({'ccp_alpha': 0.006550083445827776, 'criterion': 'entropy', 'max_depth': 30, 'max_features': 0.3, 'min_impurity_decrease': 0.003663923577322442, 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 201})",0.9767441860465116,0.9465648854961832,0.9682539682539683,0.967741935483871,0.9606299212598425,0.9639869793080752,0.010098043432698198,32
1.3842715740203857,0.366779219859191,0.1617957592010498,0.03797351291835957,0.009481853571873441,entropy,30,0.2,0.00012670043491803365,3,4,300,"OrderedDict({'ccp_alpha': 0.009481853571873441, 'criterion': 'entropy', 'max_depth': 30, 'max_features': 0.2, 'min_impurity_decrease': 0.00012670043491803365, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 300})",0.9846153846153847,0.9538461538461539,0.9682539682539683,0.967741935483871,0.9606299212598425,0.9670174726918441,0.010256946184046939,23
1.2442555904388428,0.14433296389893796,0.5570962429046631,0.24399327587124164,0.007550348207825506,entropy,30,0.1,0.005668620383624499,7,5,215,"OrderedDict({'ccp_alpha': 0.007550348207825506, 'criterion': 'entropy', 'max_depth': 30, 'max_features': 0.1, 'min_impurity_decrease': 0.005668620383624499, 'min_samples_leaf': 7, 'min_samples_split': 5, 'n_estimators': 215})",1.0,0.9612403100775194,0.9682539682539683,0.967741935483871,0.9523809523809523,0.9699234332392622,0.01609522398982493,8
1.047917938232422,0.25407887195808887,0.13798098564147948,0.03781908933333004,0.010210939152508598,entropy,30,sqrt,0.0003505919626068264,7,5,239,"OrderedDict({'ccp_alpha': 0.010210939152508598, 'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'min_impurity_decrease': 0.0003505919626068264, 'min_samples_leaf': 7, 'min_samples_split': 5, 'n_estimators': 239})",0.9922480620155039,0.9538461538461539,0.9682539682539683,0.967741935483871,0.9523809523809523,0.9668942143960899,0.014326701009932316,26
1.2329764366149902,0.29437146795274743,0.14884505271911622,0.039715282157674385,0.014647623443149203,entropy,15,0.1,0.005452466784200942,3,6,300,"OrderedDict({'ccp_alpha': 0.014647623443149203, 'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.1, 'min_impurity_decrease': 0.005452466784200942, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 300})",1.0,0.9612403100775194,0.9682539682539683,0.967741935483871,0.9523809523809523,0.9699234332392622,0.01609522398982493,8
0.9628081321716309,0.2566259635365108,0.12007832527160645,0.022280426602010663,0.005918121994724043,entropy,16,0.1,0.005019450391397926,5,4,202,"OrderedDict({'ccp_alpha': 0.005918121994724043, 'criterion': 'entropy', 'max_depth': 16, 'max_features': 0.1, 'min_impurity_decrease': 0.005019450391397926, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 202})",1.0,0.9612403100775194,0.9682539682539683,0.967741935483871,0.9523809523809523,0.9699234332392622,0.01609522398982493,8
